,topic,topic_id,bias_id,title,source,bias,desc.,desc_word_count,processed_desc,kmean_clusters
577,CIA- Right,40,5,Schumer Thanks Democrats for Solving ‘Republican-Manufactured Crisis’ after Debt-Ceiling Hike Passes,National Review, Right,"Senate majority leader Chuck Schumer (D., N.Y.) railed against Republicans in a speech Thursday night after eleven GOP senators joined Democrats in breaking a...",24,senate majority leader chuck schumer d. n.y. rail republicans speech thursday night gop senator join democrats break ...,1
578,CIA - moderate,40,3,Federal Judges Would Face Tougher Stock-Trading Rules Under Bipartisan Bill,Wall Street Journal (News),moderate,"Federal judges would be required to report stock trades over $1,000 within 45 days and post their financial-disclosure forms online under legislation proposed...",23,"federal judge require report stock trade 1,000 45 day post financial disclosure form online legislation propose ...",1
579,CIA- Lean Left,40,1,'They're probably going to put us back in power': GOP basks in Dem discord,Politico, Lean Left,"Most of the House GOP isn't lifting a finger to help Democrats out of their infrastructure jam, and with good reason. Just ask Rep. Randy Weber.

“They're...",27,house gop lift finger help democrats infrastructure jam good reason ask rep. randy weber ...,1
580,CIA- Right,40,5,Bernie Sanders Urges House Democrats to Hold Infrastructure Bill Hostage Until Reconciliation Package Passes,National Review, Right,"Joining Representative Alexandria Ocasio-Cortez and other members of the “squad,” Senator Bernie Sanders on Tuesday urged his fellow Democrats in the House to...",23,join representative alexandria ocasio cortez member squad senator bernie sanders tuesday urge fellow democrats house ...,1
581,CIA - moderate,40,3,Biden's carbon emissions-cutting pledge faces tough climb,Axios,moderate,"The verdict is in: President Biden's U.S. emissions-cutting pledge isn't a fantasy, but the path to meeting it is very difficult and relies on forces outside...",26,verdict president biden u.s. emission cut pledge fantasy path meet difficult rely force outside ...,0
582,CIA- Lean Left,40,1,Oil executives face ‘turning point’ US congressional hearing on climate crisis,The Guardian, Lean Left,The heads of major oil companies will make a historic appearance before Congress on Thursday to answer accusations that their firms have spent years lying...,25,head major oil company historic appearance congress thursday answer accusation firm spend year lie ...,1
583,CIA- Right,40,5,"Senate Rules Didn’t Dash Dems’ Mass Amnesty, They Did (But Amnesty Might Still Survive)",The Federalist, Right,"The sweeping change would grant permanent status and legal residency to an estimated 8 million people at a cost estimated at $140 billion.

The Senate’s...",25,sweeping change grant permanent status legal residency estimate 8 million people cost estimate 140 billion senate ...,1
584,CIA - moderate,40,3,House Lawmakers ask Amazon to prove Bezos and other execs didn't lie to Congress,NPR (Online News),moderate,"Five members of a congressional committee say Jeff Bezos and other executives misled lawmakers and may have lied under oath, according to a Monday...",24,member congressional committee jeff bezos executive mislead lawmaker lie oath accord monday ...,1
585,Civil Rights- Left,41,2,Arizona’s Horrifying Plan to Bring Back the Gas Chamber,Slate, Left,"Late last month, Americans learned of the latest twist in the efforts of death penalty states to keep their execution machinery running when the Guardian ...",26,late month americans learn late twist effort death penalty state execution machinery run guardian ...,1
586,Civil Rights- Lean Right,41,4,"Death row inmate convulses, vomits in 3rd consecutively botched Oklahoma execution",New York Post (News), Lean Right,"After a five-year moratorium, the state of Oklahoma botched its third consecutive execution on Thursday when convict John Marion Grant died after convulsing...",23,year moratorium state oklahoma botch consecutive execution thursday convict john marion grant die convulse ...,1
587,Civil Rights - moderate,41,3,"Prosecutor to seek hate crime charges, death penalty in Atlanta shootings",Axios,moderate,"Prosecutors unveiled murder charges against the white man accused of shooting and killing eight people, six of whom were Asian women, at Atlanta-area spas,.AP...",24,"prosecutor unveil murder charge white man accuse shoot kill people asian woman atlanta area spas, ap ...",1
588,Civil Rights- Lean Left,41,1,"U.S. executes Lisa Montgomery, first woman put to death in federal system since 1953",NBC News (Online), Lean Left,"Lisa Montgomery, a convicted killer who strangled a pregnant woman in 2004 and then cut the unborn baby from her womb, was executed in a federal prison in...",28,lisa montgomery convict killer strangle pregnant woman 2004 cut unborn baby womb execute federal prison ...,1
589,Civil Rights- Lean Right,41,4,Appeals court rules Dylann Roof death penalty-eligible for church massacre,New York Post (News), Lean Right,"Dylann Roof, the white gunman who killed nine black people in the 2015 Charleston church massacre, is one step closer to execution after a federal...",25,dylann roof white gunman kill black people 2015 charleston church massacre step close execution federal ...,1
590,Civil Rights - moderate,41,3,South Carolina moves closer to allowing death by firing squad,BBC News,moderate,"South Carolina lawmakers have passed a bill to allow inmates on death row to be executed by firing squad in the absence of lethal injection drugs.

When...",27,south carolina lawmaker pass bill allow inmate death row execute fire squad absence lethal injection drug ...,1
591,Civil Rights- Lean Left,41,1,Trump administration puts Brandon Bernard to death amid rushed series of executions,The Guardian, Lean Left,"The Trump administration has executed Brandon Bernard, after the US supreme court denied a last-minute request to delay his killing. Bernard’s execution is one...",24,trump administration execute brandon bernard supreme court deny minute request delay killing bernard execution ...,1
592,Civil Rights- Lean Right,41,4,"Texas man executed despite appeals from Kim Kardashian West, Democrats",Washington Times, Lean Right,"A Texas man convicted of killing married youth ministers before setting their car on fire while they were inside was executed Thursday night, despite last-...",25,texas man convict kill married youth minister set car fire inside execute thursday night despite last- ...,1
593,Civil Rights - moderate,41,3,Virginia becomes first Southern state to abolish death penalty,Axios,moderate,"Virginia officially became the first Southern state and 23rd state nationwide to end capital punishment, after Gov. Ralph Northam (D) signed legislation to...",23,virginia officially southern state 23rd state nationwide end capital punishment gov. ralph northam d sign legislation ...,1
594,Civil Rights- Left,41,2,"Trump Is Leaving the White House. Meanwhile, He’s Escalating His Execution Spree.",Mother Jones, Left,"Last week, as President Donald Trump was mounting more meritless court challenges to the election he had clearly lost, Orlando Hall was executed at the federal...",26,week president donald trump mount meritless court challenge election clearly lose orlando hall execute federal ...,1
595,Civil Rights- Right,41,5,Justice Department Asks Supreme Court To Allow Execution Of Four Child Murderers,The Daily Caller, Right,"The Trump administration asked the Supreme Court Monday night to clear the way for four federal executions, after a judge in Washington, D.C., put them on hold...",27,trump administration ask supreme court monday night clear way federal execution judge washington d.c. hold ...,1
596,Civil Rights - moderate,41,3,Virginia next in line to abolish death penalty. What’s behind the shift?,Christian Science Monitor,moderate,"Rachel Sutphin wasn’t thinking about the death penalty when her father, Montgomery County Sheriff’s Deputy Cpl. Eric Sutphin, was killed on duty in Blacksburg...",24,rachel sutphin think death penalty father montgomery county sheriff deputy cpl eric sutphin kill duty blacksburg ...,1
